Entity,Year,Annual CO2 emissions,GDP per capita,Population,per_capita_CO2,per_gdp_CO2,Annual nitrous oxide emissions,Annual methane emissions,Annual greenhouse gas emissions,CO2 emissions %,CO2 % from greenhouse emissions
Brazil,2013,532418020.0,15306.0,201721780,2.6393680444422016,0.17244009175762456,160456210.0,555891900.0,2417753000.0,1.5074464314027498,22.021191577468834
Brazil,2014,557901000.0,15258.0,203459650,2.742071953824751,0.1797137209217952,166625420.0,563048100.0,2417723100.0,1.5681271022218317,23.07547129776772
Brazil,2015,529353020.0,15826.0,205188210,2.5798413076462823,0.16301284643284988,163997390.0,572949060.0,2375172400.0,1.4886792404013571,22.28693041397753
Brazil,2016,492748000.0,13873.0,206859580,2.382040996119203,0.1717033803877462,167249800.0,576798800.0,2252933600.0,1.3870773689702707,21.871394700669384
Brazil,2017,497412700.0,13951.6,208504960,2.385615670725531,0.17099226402172732,174648240.0,576864060.0,2199244500.0,1.3779990695557884,22.61743521468395
Brazil,2018,477102140.0,14033.565,210166600,2.270113995278032,0.1617631724567515,169436060.0,576471800.0,2123841000.0,1.2955399249073563,22.46411760579064
Canada,1950,154133760.0,11622.0,13743068,11.215382183949028,0.965013094471608,16503524.0,47499252.0,406307360.0,2.567495858924933,37.93526162066077
Canada,1951,162678030.0,12007.0,14085723,11.549143057832389,0.9618674987784116,16768398.0,49164572.0,428567680.0,2.5498937152619208,37.95853901068788
Canada,1952,159408750.0,12486.0,14485746,11.00452472382161,0.8813490888852804,17088634.0,50073332.0,431168480.0,2.465442014486538,36.971336587498236
Canada,1953,160608180.0,12726.0,14901533,10.777963582673005,0.8469246882502753,17456428.0,51308716.0,439235000.0,2.41597331312804,36.56543308251847
Canada,1954,162967660.0,12272.0,15323199,10.63535492817133,0.8666358318262166,17863972.0,52736540.0,444419170.0,2.4001237708154486,36.66980882035309
Canada,1955,169473170.0,13072.0,15733926,10.771194042732882,0.8239897523510467,18303464.0,54655624.0,456654140.0,2.2768724228306905,37.11193114333749
Canada,1956,189802430.0,13791.0,16167046,11.740081026552408,0.8512856954936123,18767094.0,57206456.0,482013020.0,2.395209113086117,39.37703384028921
Canada,1957,182811420.0,13719.0,16650052,10.979630574126736,0.8003229516821004,19247062.0,58221200.0,480864700.0,2.23334396589501,38.01722605131964
Canada,1958,182155200.0,13603.0,17113392,10.644014932866611,0.7824755519272668,19735558.0,59640052.0,487636220.0,2.163974062039359,37.354731361013336
Canada,1959,184481360.0,13829.0,17524910,10.526807840953248,0.7612125129042772,20224778.0,61208550.0,490542300.0,2.0830708718763904,37.60763546793008
Canada,1960,192716180.0,13952.0,17909358,10.760641447895564,0.7712615716668265,20942844.0,64111924.0,491260000.0,2.052865312237288,39.228958189146276
